issuerCode,issuerCountry,issuerCountryCode,serviceCode,serviceName,adnlServiceCode,adnlServiceName,allowedConsigneeCountry,allowedConsignorCountry,mandatory
Z11,DENMARK,DK,19,Mypack Collect,A7,Optional Service Point,EE,ALL,TRUE
Z11,DENMARK,DK,20,Return Pickup,89,EDI - mangelfuld adresse,SE,FI,FALSE
Z14,FINLAND,FI,49,InNight Reverse,A8,Dangerous Goods LQ,NO,ALL,FALSE
Z14,FINLAND,FI,17,MyPack Home,C5,Delivery Notification,GB,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,A6,Delivery without POD,SK,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E9,Collection Request,SE,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,A3,SMS notification,GG,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,62,Insurance DK,FI,NO,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,10,Ad-hoc pickup,GL,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E1,Tyres,LI,ALL,FALSE
Z12,SWEDEN,SE,18,PostNord Parcel,A3,SMS-avisering,FI,ALL,FALSE
Z12,SWEDEN,SE,42,Expresspaket,D3,Föravisering,ALL,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,A3,SMS notification,PL,ALL,FALSE
Z14,FINLAND,FI,19,MyPack Collect,A3,SMS notification,LT,ALL,FALSE
Z13,NORWAY,NO,17,MyPack Home,C6,Leverings bekreftelse,ALL,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,A5,Insurance Europe,SI,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,A8,Dangerous Goods LQ,BE,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,E7,Pickup Handover,FI,FI,FALSE
Z11,DENMARK,DK,17,Mypack Home,A4,Email notification,IT,ALL,FALSE
Z14,FINLAND,FI,17,MyPack Home,B8,Driver Notification - Phone,FI,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A3,SMS notification,GL,ALL,FALSE
Z11,DENMARK,DK,19,Mypack Collect,A5,Insurance Europe,EE,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A8,Limited Quantity of Dangerous Goods,DK,NO,FALSE
Z11,DENMARK,DK,17,Mypack Home,A5,Insurance Europe,SE,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,A6,Delivery without POD,LT,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,B7,Carry-in,FI,ALL,FALSE
Z12,SWEDEN,SE,RL,Rek Extra,FR,Franco,ALL,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,D5,Private receiver,NO,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,A5,Insurance Europe,BE,ALL,FALSE
Z13,NORWAY,NO,52,Pallet,C1,Receipient freight,NO,ALL,FALSE
Z12,SWEDEN,SE,18,PostNord Parcel,D9,Klimatkompensation,NO,ALL,FALSE
Z14,FINLAND,FI,19,MyPack Collect,A4,Standard Self-Service and E-mail Info,DE,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A4,Email notification,UA,ALL,FALSE
Z13,NORWAY,NO,18,Parcel,C4,ID check,ALL,ALL,FALSE
Z11,DENMARK,DK,83,Groupage,A9,Driver notification,NO,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,E8,Split Shipment,NO,ALL,FALSE
